,month,L2050
0,Feb-2011,1420.1
1,Mar-2011,2790.91
2,Apr-2011,4314.63
3,May-2011,5610.54
4,Jun-2011,6882.16
5,Jul-2011,8112.66
6,Aug-2011,8903.22
7,Sep-2011,9476.52
8,Oct-2011,11927.99
9,Nov-2011,13199.22
10,Dec-2011,14572.77
11,Jan-2012,16768.12
12,Feb-2012,18910.37
13,Mar-2012,20705.12
14,Apr-2012,21949.24
15,May-2012,21765.34
16,Jun-2012,24171.89
17,Jul-2012,25788.15
18,Aug-2012,27887.66
19,Sep-2012,30001.77
20,Oct-2012,31167.09
21,Nov-2012,32971.51
22,Dec-2012,35051.87
23,Jan-2013,38200.62
24,Feb-2013,39881.04
25,Mar-2013,42459.67
26,Apr-2013,44976.43
27,May-2013,46680.86
28,Jun-2013,47373.78
29,Jul-2013,51190.7
30,Aug-2013,51538.13
31,Sep-2013,55338.91
32,Oct-2013,58768.1
33,Nov-2013,61388.8
34,Dec-2013,64091.5
35,Jan-2014,63773.43
36,Feb-2014,68128.05
37,Mar-2014,69649.01
38,Apr-2014,71334.88
39,May-2014,74088.93
40,Jun-2014,77027.99
41,Jul-2014,77026.47
42,Aug-2014,80533.26
43,Sep-2014,79941.8
44,Oct-2014,82783.93
45,Nov-2014,85548.02
46,Dec-2014,86188.49
47,Jan-2015,86653.76
48,Feb-2015,92552.63
49,Mar-2015,93337.83
50,Apr-2015,95937.95
51,May-2015,98197.97
52,Jun-2015,98042.98
53,Jul-2015,100996.31
54,Aug-2015,96992.26
55,Sep-2015,95448.85
56,Oct-2015,103066.32
57,Nov-2015,104817.28
58,Dec-2015,104350.41
59,Jan-2016,100706.08
60,Feb-2016,101562.18
61,Mar-2016,109184.08
62,Apr-2016,111735.57
63,May-2016,114537.78
64,Jun-2016,115364.76
65,Jul-2016,121235.51
66,Aug-2016,122993.25
67,Sep-2016,125090.82
68,Oct-2016,124198.25
69,Nov-2016,128451.04
70,Dec-2016,132602.04
71,Jan-2017,136663.39
72,Feb-2017,141631.29
73,Mar-2017,144247.72
74,Apr-2017,147700.74
75,May-2017,151453.67
76,Jun-2017,153840.8
77,Jul-2017,158168.0
78,Aug-2017,159907.51
79,Sep-2017,164861.63
80,Oct-2017,169073.32
81,Nov-2017,174035.96
82,Dec-2017,177291.32
83,Jan-2018,186254.56
84,Feb-2018,181392.38
85,Mar-2018,180903.48
86,Apr-2018,183704.02
87,May-2018,187579.79
88,Jun-2018,189348.4
89,Jul-2018,195624.15
90,Aug-2018,200419.05
91,Sep-2018,202384.84
92,Oct-2018,190977.18
93,Nov-2018,194867.58
94,Dec-2018,183740.85
95,Jan-2019,197640.86
96,Feb-2019,204520.62
97,Mar-2019,208164.13
98,Apr-2019,215913.09
99,May-2019,207299.62
100,Jun-2019,220369.33
101,Jul-2019,222399.21
102,Aug-2019,220671.34
103,Sep-2019,225968.41
