Year,G_Fund,F_Fund,C_Fund,S_Fund,I_Fund,total
2007_gross,.000351,.000351,.000353,.000353,.000349,.000352
2007_net,.000146,.000146,.000147,.000146,.000142,.000146
2008_gross,.000426,.000428,.000437,.000437,.000439,.000432
2008_net,.000184,.000183,.000188,.000187,.000188,.000186
2009_gross,.000523,.000521,.000516,.000511,.000512,.000519
2009_net,.000283,.000282,.000278,.000276,.000276,.000281
2010_gross,.000480,.000479,.000476,.000470,.000480,.000478
2010_net,.000247,.000246,.000246,.000242,.000250,.000246
2011_gross,.000468,.000464,.000468,.000469,.000470,.000468
2011_net,.000246,.000243,.000248,.000249,.000250,.000247
