Year,G_Fund,F_Fund,C_Fund,S_Fund,I_Fund,L_Funds
2004,.40,.07,.39,.08,.06,.*
2005,.36,.06,.35,.09,.08,.06*
2006,.33,.05,.30,.09,.11,.11*
2007,.33,.04,.23,.07,.09,.13*
2008,.43,.04,.23,.07,.09,.13*
2009,.43,.05,.22,.07,.09,.13*
2010,.42,.06,.25,.09,.07,.13
2011,.45,.07,.23,.07,.05,.13
2012,.43,.08,.23,.07,.05,.14
2013,.37,.05,.26,.10,.06,.16
2014,.35,.05,.28,.10,.05,.17
2015,.36,.05,.27,.10,.05,.17
2016,.39,.04,.26,.10,.04,.17
2017,.30,.04,.30,.11,.05,.20
2018,

*Figure is based on monthly contributions, not total fund balances

jnHWpVqWyQCj2edWgu

jfNsfuXkjctrgNV82y

